operation,run_time_ms
detach_,0.003091200068593025
zero_,0.013209599256515502
detach_,0.002662399969995022
zero_,0.013023999333381654
detach_,0.0025696000084280968
zero_,0.012985600531101227
detach_,0.002662399969995022
zero_,0.013068799674510957
detach_,0.00278719998896122
zero_,0.013107199966907502
detach_,0.0025696000084280968
zero_,0.01300159990787506
detach_,0.002553600072860718
zero_,0.0130048006772995
detach_,0.002582399919629097
zero_,0.01412159949541092
detach_,0.0026976000517606735
zero_,0.016303999722003935
detach_,0.002563199959695339
zero_,0.0164000004529953
detach_,0.002662399969995022
zero_,0.013011200726032257
detach_,0.0025472000241279604
zero_,0.01297599971294403
detach_,0.0025567999109625816
zero_,0.016357743487318967
detach_,0.0025599999353289604
zero_,0.014137600362300873
detach_,0.0025599999353289604
zero_,0.013065600395202636
detach_,0.0025760000571608543
zero_,0.012966400384902954
detach_,0.0025599999353289604
zero_,0.012934400141239167
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.0025599999353289604
zero_,0.012969599664211273
detach_,0.0029472000896930695
zero_,0.014451199769973755
detach_,0.0025599999353289604
zero_,0.013107199966907502
detach_,0.0025599999353289604
zero_,0.016406154523453346
detach_,0.0025728000327944756
zero_,0.012985600531101227
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.0026208000257611276
zero_,0.012905600666999816
detach_,0.002739199995994568
zero_,0.0130048006772995
detach_,0.0025567999109625816
zero_,0.012940800189971924
detach_,0.0025599999353289604
zero_,0.016392943010291074
detach_,0.0027232000604271887
zero_,0.0130048006772995
detach_,0.0025599999353289604
zero_,0.012947200238704682
detach_,0.0025599999353289604
zero_,0.016392943010291074
detach_,0.0026976000517606735
zero_,0.013065600395202636
detach_,0.0026367999613285064
zero_,0.012972800433635712
detach_,0.002563199959695339
zero_,0.012934400141239167
detach_,0.0025599999353289604
zero_,0.012995199859142303
detach_,0.0025599999353289604
zero_,0.012937599420547485
detach_,0.0025599999353289604
zero_,0.016281600296497344
detach_,0.0025439999997615816
zero_,0.012982399761676788
detach_,0.0025887999683618544
zero_,0.0130048006772995
detach_,0.0025855999439954756
zero_,0.014748799800872802
detach_,0.0025599999353289604
zero_,0.012928000092506409
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.0026528000831604003
zero_,0.016508553813061346
detach_,0.002691200003027916
zero_,0.015087999403476715
detach_,0.002595200017094612
zero_,0.013065600395202636
detach_,0.0025599999353289604
zero_,0.012902399897575379
detach_,0.0025599999353289604
zero_,0.013209599256515502
detach_,0.0025599999353289604
zero_,0.012943999469280243
detach_,0.0025855999439954756
zero_,0.01637863081300442
detach_,0.0025599999353289604
zero_,0.013081599771976472
detach_,0.0027615999802947044
zero_,0.012995199859142303
detach_,0.002579200081527233
zero_,0.01638014291282556
detach_,0.002566399984061718
zero_,0.012918399274349212
detach_,0.002566399984061718
zero_,0.013107199966907502
detach_,0.0025760000571608543
zero_,0.012902399897575379
detach_,0.00261439997702837
zero_,0.012902399897575379
detach_,0.0025760000571608543
zero_,0.013030399382114411
detach_,0.0025599999353289604
zero_,0.015014399588108063
detach_,0.002563199959695339
zero_,0.012934400141239167
detach_,0.0025728000327944756
zero_,0.012905600666999816
detach_,0.0025599999353289604
zero_,0.012995199859142303
detach_,0.0026048000901937483
zero_,0.012998400628566742
detach_,0.0025599999353289604
zero_,0.012992000579833985
detach_,0.0025599999353289604
zero_,0.016498543069323513
detach_,0.002579200081527233
zero_,0.013017599284648896
detach_,0.0025855999439954756
zero_,0.012947200238704682
detach_,0.002579200081527233
zero_,0.013014400005340576
detach_,0.0026240000501275063
zero_,0.0130048006772995
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.0025599999353289604
zero_,0.01646014426704309
detach_,0.0025599999353289604
zero_,0.015052799880504609
detach_,0.0025599999353289604
zero_,0.01393280029296875
detach_,0.0026528000831604003
zero_,0.018405744180640195
detach_,0.004198399931192398
zero_,0.013068799674510957
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.002563199959695339
zero_,0.013020800054073333
detach_,0.0025599999353289604
zero_,0.012902399897575379
detach_,0.002563199959695339
zero_,0.013014400005340576
detach_,0.0025599999353289604
zero_,0.03185850769764827
detach_,0.0025599999353289604
zero_,0.012988799810409546
detach_,0.002579200081527233
zero_,0.013097600638866424
detach_,0.002550400048494339
zero_,0.013020800054073333
detach_,0.0025760000571608543
zero_,0.013078400492668152
detach_,0.002553600072860718
zero_,0.012943999469280243
detach_,0.002566399984061718
zero_,0.016440944120844816
detach_,0.0025599999353289604
zero_,0.0130048006772995
detach_,0.002764800004661083
zero_,0.0130048006772995
detach_,0.0027008000761270523
zero_,0.018140142903288817
detach_,0.002563199959695339
zero_,0.0130048006772995
detach_,0.0025599999353289604
zero_,0.013072000443935394
detach_,0.0024831999093294145
zero_,0.01814941576951834
detach_,0.002579200081527233
zero_,0.012982399761676788
detach_,0.0025599999353289604
zero_,0.012902399897575379
detach_,0.0025599999353289604
zero_,0.016364143536051725
detach_,0.0025887999683618544
zero_,0.0130048006772995
detach_,0.0026559999212622644
zero_,0.0130048006772995
detach_,0.0026176000013947488
zero_,0.016466544315775846
detach_,0.0025599999353289604
zero_,0.01300159990787506
detach_,0.0025696000084280968
zero_,0.013017599284648896
detach_,0.0025343999266624452
zero_,0.016492143020590756
detach_,0.0025599999353289604
zero_,0.012895999848842621
detach_,0.0027488000690937043
zero_,0.013078400492668152
detach_,0.0025599999353289604
zero_,0.018450543031653378
detach_,0.002566399984061718
zero_,0.01313920021057129
detach_,0.002627200074493885
zero_,0.01297920048236847
detach_,0.0025599999353289604
zero_,0.016437743351420377
detach_,0.002579200081527233
zero_,0.0130048006772995
detach_,0.0025472000241279604
zero_,0.013014400005340576
detach_,0.0025599999353289604
zero_,0.016440944120844816
detach_,0.0025599999353289604
zero_,0.013014400005340576
detach_,0.0025599999353289604
zero_,0.012931199371814727
detach_,0.0025984000414609907
zero_,0.016444143400153134
detach_,0.0025599999353289604
zero_,0.012985600531101227
detach_,0.0025599999353289604
zero_,0.013040000200271606
detach_,0.002553600072860718
zero_,0.018131902802807243
detach_,0.0025599999353289604
zero_,0.01292479932308197
detach_,0.0025599999353289604
zero_,0.013062399625778199
detach_,0.0025599999353289604
zero_,0.019712656931820893
detach_,0.0026240000501275063
zero_,0.01292479932308197
detach_,0.0026240000501275063
zero_,0.013033600151538849
detach_,0.0026464000344276427
zero_,0.01646014426704309
detach_,0.002563199959695339
zero_,0.01300159990787506
detach_,0.002550400048494339
zero_,0.01300159990787506
detach_,0.0025599999353289604
zero_,0.01646014426704309
detach_,0.0024831999093294145
zero_,0.012921600043773651
detach_,0.0027551999315619468
zero_,0.012934400141239167
detach_,0.0025696000084280968
zero_,0.018220226231159306
detach_,0.0025599999353289604
zero_,0.012985600531101227
detach_,0.002563199959695339
zero_,0.012912000715732574
detach_,0.0025599999353289604
